lz4_level,shuffle,compressed_bytes,ratio,write_s,read_s
1,0,17213279,7.529,0.201,0.046
2,0,17150435,7.557,0.116,0.047
3,0,20144707,6.433,0.148,0.047
4,0,17225245,7.524,0.119,0.049
5,0,25952002,4.994,0.119,0.048
6,0,24098512,5.378,0.113,0.047
7,0,30841558,4.202,0.118,0.048
8,0,20901918,6.200,0.115,0.046
9,0,39107198,3.314,0.117,0.050
1,1,4720911,27.452,0.304,0.084
2,1,5083363,25.495,0.304,0.088
3,1,5380999,24.085,0.302,0.084
4,1,5736864,22.591,0.301,0.085
5,1,6118754,21.181,0.302,0.086
6,1,6331328,20.470,0.301,0.086
7,1,7118104,18.207,0.308,0.086
8,1,6815305,19.016,0.301,0.086
9,1,7427867,17.448,0.304,0.085
