quantize_alg,nsd_or_nsb,filter,compressed_bytes,ratio,write_s,read_s,max_abs_err
none,0,deflate,4577794,28.311,0.588,0.208,0.000000
none,0,zstandard,3240824,39.990,0.333,0.091,0.000000
none,0,szip,55771682,2.324,1.566,0.846,0.000000
none,0,lz4,4720911,27.452,0.304,0.082,0.000000
none,0,bzip2,2955669,43.848,4.402,0.745,0.000000
bitgroom,1,deflate,663788,195.243,0.672,0.129,7.999969
bitgroom,1,zstandard,98762,1312.246,0.521,0.089,7.999969
bitgroom,1,szip,3199286,40.509,1.137,0.390,7.999969
bitgroom,1,lz4,628838,206.094,0.527,0.075,7.999969
bitgroom,1,bzip2,143594,902.545,13.360,0.694,7.999969
bitgroom,2,deflate,889157,145.756,0.679,0.139,0.999969
bitgroom,2,zstandard,241005,537.748,0.522,0.088,0.999969
bitgroom,2,szip,4091082,31.679,1.115,0.392,0.999969
bitgroom,2,lz4,1048332,123.625,0.508,0.076,0.999969
bitgroom,2,bzip2,219178,591.300,9.320,0.585,0.999969
bitgroom,3,deflate,1967993,65.854,0.701,0.163,0.124969
bitgroom,3,zstandard,771593,167.964,0.530,0.089,0.124969
bitgroom,3,szip,8309557,15.596,1.176,0.473,0.124969
bitgroom,3,lz4,3025527,42.836,0.514,0.079,0.124969
bitgroom,3,bzip2,608350,213.035,10.268,0.616,0.124969
bitgroom,4,deflate,2661068,48.702,0.736,0.152,0.007782
bitgroom,4,zstandard,1782516,72.706,0.543,0.093,0.007782
bitgroom,4,szip,18075382,7.170,1.447,0.629,0.007782
bitgroom,4,lz4,3167961,40.910,0.523,0.083,0.007782
bitgroom,4,bzip2,1808398,71.666,9.629,0.638,0.007782
bitgroom,5,deflate,5379620,24.091,0.813,0.191,0.000946
bitgroom,5,zstandard,2663848,48.651,0.561,0.096,0.000946
bitgroom,5,szip,55771682,2.324,1.923,0.856,0.000946
bitgroom,5,lz4,5578861,23.231,0.556,0.090,0.000946
bitgroom,5,bzip2,2155424,60.127,11.352,0.706,0.000946
bitgroom,6,deflate,4329418,29.935,0.775,0.166,0.000092
bitgroom,6,zstandard,2959439,43.792,0.559,0.094,0.000092
bitgroom,6,szip,55771682,2.324,1.764,0.853,0.000092
bitgroom,6,lz4,4381961,29.576,0.527,0.082,0.000092
bitgroom,6,bzip2,2638279,49.123,5.494,0.743,0.000092
granularbr,1,deflate,644159,201.193,1.719,0.129,32.000000
granularbr,1,zstandard,84402,1535.509,1.555,0.085,32.000000
granularbr,1,szip,3150237,41.140,2.169,0.395,32.000000
granularbr,1,lz4,597406,216.938,1.562,0.076,32.000000
granularbr,1,bzip2,112363,1153.405,2.215,0.351,32.000000
granularbr,2,deflate,660828,196.118,1.766,0.130,4.000000
granularbr,2,zstandard,93796,1381.722,1.556,0.084,4.000000
granularbr,2,szip,3199361,40.508,2.198,0.401,4.000000
granularbr,2,lz4,628322,206.264,1.583,0.081,4.000000
granularbr,2,bzip2,121778,1064.232,2.206,0.348,4.000000
granularbr,3,deflate,880032,147.267,1.708,0.141,0.500000
granularbr,3,zstandard,194516,666.269,1.550,0.086,0.500000
granularbr,3,szip,4088982,31.695,2.140,0.399,0.500000
granularbr,3,lz4,1053482,123.021,1.568,0.079,0.500000
granularbr,3,bzip2,223296,580.396,2.248,0.361,0.500000
granularbr,4,deflate,2908635,44.557,1.790,0.169,0.031036
granularbr,4,zstandard,1015181,127.662,1.619,0.097,0.031036
granularbr,4,szip,11141157,11.633,2.331,0.527,0.031036
granularbr,4,lz4,3253047,39.840,1.556,0.080,0.031036
granularbr,4,bzip2,878437,147.535,2.638,0.401,0.031036
granularbr,5,deflate,2698556,48.026,1.821,0.155,0.003906
granularbr,5,zstandard,1893011,68.462,1.566,0.092,0.003906
granularbr,5,szip,18098632,7.161,2.481,0.637,0.003906
granularbr,5,lz4,3106364,41.721,1.579,0.080,0.003906
granularbr,5,bzip2,1794262,72.230,3.647,0.513,0.003906
granularbr,6,deflate,5749170,22.542,1.838,0.188,0.000488
granularbr,6,zstandard,2948548,43.954,1.597,0.101,0.000488
granularbr,6,szip,55774282,2.324,2.773,0.852,0.000488
granularbr,6,lz4,6513650,19.897,1.566,0.088,0.000488
granularbr,6,bzip2,2178070,59.502,12.212,0.703,0.000488
bitround,3,deflate,644169,201.189,0.710,0.130,16.000000
bitround,3,zstandard,84419,1535.199,0.556,0.083,16.000000
bitround,3,szip,3149237,41.153,1.138,0.379,16.000000
bitround,3,lz4,597406,216.938,0.543,0.077,16.000000
bitround,3,bzip2,112881,1148.112,1.198,0.347,16.000000
bitround,6,deflate,683919,189.496,0.707,0.137,2.000000
bitround,6,zstandard,106876,1212.620,0.561,0.087,2.000000
bitround,6,szip,3259108,39.765,1.169,0.405,2.000000
bitround,6,lz4,671448,193.016,0.551,0.076,2.000000
bitround,6,bzip2,133661,969.617,1.209,0.352,2.000000
bitround,9,deflate,1028107,126.057,0.719,0.143,0.250000
bitround,9,zstandard,261610,495.394,0.560,0.088,0.250000
bitround,9,szip,4796607,27.019,1.170,0.409,0.250000
bitround,9,lz4,1363107,95.077,0.544,0.077,0.250000
bitround,9,bzip2,295157,439.088,1.274,0.361,0.250000
bitround,13,deflate,3504404,36.982,0.781,0.173,0.015533
bitround,13,zstandard,1271051,101.963,0.593,0.094,0.015533
bitround,13,szip,13695307,9.463,1.347,0.589,0.015533
bitround,13,lz4,3858360,33.589,0.561,0.083,0.015533
bitround,13,bzip2,1056069,122.719,2.494,0.438,0.015533
bitround,16,deflate,5519000,23.483,0.878,0.191,0.001953
bitround,16,zstandard,2955425,43.852,0.609,0.100,0.001953
bitround,16,szip,55723357,2.326,1.958,0.895,0.001953
bitround,16,lz4,7156198,18.110,0.577,0.093,0.001953
bitround,16,bzip2,1955589,66.272,5.848,0.783,0.001953
bitround,19,deflate,5522845,23.466,0.828,0.185,0.000244
bitround,19,zstandard,2917091,44.428,0.600,0.098,0.000244
bitround,19,szip,55773082,2.324,1.845,0.900,0.000244
bitround,19,lz4,5706432,22.711,0.575,0.084,0.000244
bitround,19,bzip2,2211736,58.597,11.315,0.725,0.000244
